sub0,sub1,sub2,sub3,sub4,sub5,sub6,sub7,Indicator,Source,Time,Value,Unit,Details
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,2010,598.57,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,2011,722.13,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,2012,487.11,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,2013,494.54,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,2014,532.06,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,2015,471.42,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,2016,477.58,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,2017,507.80,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,2018,343.71,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,2019,252.14,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,2020,209.51,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,2021,307.34,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,2022,403.25,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,2023,421.55,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,2024,416.68,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,2025,356.51,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,2026,375.64,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,2027,416.43,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,2028,454.40,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,2029,482.13,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,2030,511.32,Billion US$,
GDP,GDP,PPP,,,IMF,,$,GDP PPP  ,IMF,1980,172.04,Billion international $,
GDP,GDP,PPP,,,IMF,,$,GDP PPP  ,IMF,1981,177.58,Billion international $,
GDP,GDP,PPP,,,IMF,,$,GDP PPP  ,IMF,1982,232.25,Billion international $,
GDP,GDP,PPP,,,IMF,,$,GDP PPP  ,IMF,1983,268.10,Billion international $,
GDP,GDP,PPP,,,IMF,,$,GDP PPP  ,IMF,1984,257.94,Billion international $,
GDP,GDP,PPP,,,IMF,,$,GDP PPP  ,IMF,1985,271.07,Billion international $,
GDP,GDP,PPP,,,IMF,,$,GDP PPP  ,IMF,1986,249.47,Billion international $,
GDP,GDP,PPP,,,IMF,,$,GDP PPP  ,IMF,1987,255.21,Billion international $,
GDP,GDP,PPP,,,IMF,,$,GDP PPP  ,IMF,1988,248.14,Billion international $,
GDP,GDP,PPP,,,IMF,,$,GDP PPP  ,IMF,1989,273.69,Billion international $,
GDP,GDP,PPP,,,IMF,,$,GDP PPP  ,IMF,1990,322.53,Billion international $,
GDP,GDP,PPP,,,IMF,,$,GDP PPP  ,IMF,1991,375.84,Billion international $,
GDP,GDP,PPP,,,IMF,,$,GDP PPP  ,IMF,1992,397.08,Billion international $,
GDP,GDP,PPP,,,IMF,,$,GDP PPP  ,IMF,1993,400.51,Billion international $,
GDP,GDP,PPP,,,IMF,,$,GDP PPP  ,IMF,1994,402.12,Billion international $,
GDP,GDP,PPP,,,IMF,,$,GDP PPP  ,IMF,1995,420.41,Billion international $,
GDP,GDP,PPP,,,IMF,,$,GDP PPP  ,IMF,1996,455.29,Billion international $,
GDP,GDP,PPP,,,IMF,,$,GDP PPP  ,IMF,1997,469.40,Billion international $,
GDP,GDP,PPP,,,IMF,,$,GDP PPP  ,IMF,1998,484.55,Billion international $,
GDP,GDP,PPP,,,IMF,,$,GDP PPP  ,IMF,1999,501.24,Billion international $,
GDP,GDP,PPP,,,IMF,,$,GDP PPP  ,IMF,2000,542.56,Billion international $,
GDP,GDP,PPP,,,IMF,,$,GDP PPP  ,IMF,2001,568.05,Billion international $,
GDP,GDP,PPP,,,IMF,,$,GDP PPP  ,IMF,2002,623.48,Billion international $,
GDP,GDP,PPP,,,IMF,,$,GDP PPP  ,IMF,2003,690.72,Billion international $,
GDP,GDP,PPP,,,IMF,,$,GDP PPP  ,IMF,2004,740.05,Billion international $,
GDP,GDP,PPP,,,IMF,,$,GDP PPP  ,IMF,2005,787.60,Billion international $,
GDP,GDP,PPP,,,IMF,,$,GDP PPP  ,IMF,2006,852.49,Billion international $,
GDP,GDP,PPP,,,IMF,,$,GDP PPP  ,IMF,2007,946.99,Billion international $,
GDP,GDP,PPP,,,IMF,,$,GDP PPP  ,IMF,2008,967.66,Billion international $,
GDP,GDP,PPP,,,IMF,,$,GDP PPP  ,IMF,2009,983.43,Billion international $,
